OBJECTID,GlobalID,type,source,poly_DateCurrent,mission,incident_name,incident_number,area_acres,description,FireDiscoveryDate,CreationDate,EditDate,displayStatus
191,0cb3fe9e-99ea-4489-a52b-c36567281d92,Heat Perimeter,FIRIS,2024/06/17 00:02:55.112+00,CA-LAC-MAX-N43U,,,337.637105742671,FIRIS Perimeter,,2024/06/16 23:54:24+00,2024/06/17 00:05:37.601+00,Inactive
192,d7d62487-8400-414f-951b-4fbdfb587f7d,Heat Perimeter,FIRIS,2024/06/17 00:29:30.074+00,CA-AEU-MURPHY-N57B,,,2.9584619390432,FIRIS Perimeter,,2024/06/17 00:28:17+00,2024/06/17 00:32:39.135+00,Inactive
193,f1f3a0c7-e282-4d17-9985-78e35298b1d9,Heat Perimeter,FIRIS,2024/06/17 00:42:43.386+00,CA-LAC-POST-N43U,,,14624.5763354493,FIRIS Perimeter,,2024/06/17 00:41:50+00,2024/06/17 00:47:43.151+00,Inactive
194,b92388c4-655e-4e22-883b-44389601c8ee,Heat Perimeter,FIRIS,2024/06/17 01:12:37.720+00,CA-ANF-BURRO-N43U,,,0.86994242623584,FIRIS Perimeter,,2024/06/17 01:11:35+00,2024/06/17 01:15:51.763+00,Inactive
195,2b609d52-512e-4f9f-9ade-6e529944936a,Heat Perimeter,FIRIS,2024/06/17 01:27:32.834+00,CA-SHU-HIDDENDASAU-N57,,,44.9749576359207,FIRIS Perimeter,,2024/06/17 01:26:54+00,2024/06/17 01:29:48.265+00,Inactive
196,e8cd88f9-849d-410b-bb09-e71ae9599ca2,Heat Perimeter,FIRIS,2024/06/17 01:35:15.690+00,CA-RRU-LISA-N43U,,,866.762468537222,FIRIS Perimeter,,2024/06/17 01:34:09+00,2024/06/17 01:37:59.531+00,Inactive
197,779e8546-3c8f-4deb-b311-ff1d6697c6ec,Heat Perimeter,FIRIS,2024/06/17 04:37:52.779+00,CA-LNU-POINT-N57B,,,1013.4178596154,FIRIS Perimeter,,2024/06/17 04:35:24+00,2024/06/17 04:40:35.672+00,Inactive
198,24d4e05c-d022-4a79-8dd6-535cac939726,Heat Perimeter,CAL FIRE INTEL FLIGHT DATA,1900/01/01 00:00:00+00,HERNANDEZ,HERNANDEZ,,642.030083160486,IR Image Interpretation,,,,Inactive
199,f034136a-d013-4c9e-b200-e453282bd84b,Heat Perimeter,FIRIS,2024/06/17 17:11:49.235+00,CA-LAC-POST-N43U,,,15610.3618193695,FIRIS Perimeter,,2024/06/17 17:10:33+00,2024/06/17 17:14:28.058+00,Inactive
200,7c281bae-8cd5-4c6f-845a-d6f0695a8013,Heat Perimeter,CAL FIRE INTEL FLIGHT DATA,1900/01/01 00:00:00+00,POINT,POINT,,1189.72121229668,IR Image Interpretation,,,,Inactive
201,f6da065f-0726-4386-8c5c-19db4ae0c7cb,Heat Perimeter,FIRIS,2024/06/17 18:30:40.812+00,CA-RRU-LISA-N40Y,,,892.791879752537,FIRIS Perimeter,,2024/06/17 18:22:19+00,2024/06/17 18:34:02.618+00,Inactive
202,cdbcef4c-e632-4df8-ae36-50ed8a602a06,Heat Perimeter,FIRIS,2024/06/17 21:05:29.478+00,CA-CDD-TUSCANY-N43U,,,126.069486009916,FIRIS Perimeter,,2024/06/17 21:02:44+00,2024/06/17 21:09:26.863+00,Inactive
203,cdd5a122-857e-4000-9d11-9e067745406d,Heat Perimeter,FIRIS,2024/06/17 22:35:24.075+00,CA-LNU-SITES-N57B,,,102.979155608855,FIRIS Perimeter,,2024/06/17 22:34:28+00,2024/06/17 22:38:44.550+00,Inactive
204,a6d25563-b0a2-49b1-8191-68dc19cd581e,Heat Perimeter,FIRIS,2024/06/17 22:54:03.552+00,CA-SAC-DOUGLAS-N57B,,,123.839076539161,FIRIS Perimeter,,2024/06/17 22:53:08+00,2024/06/17 22:56:51.788+00,Inactive
205,20305da4-e597-4133-b7c9-054f833bf55c,Heat Perimeter,FIRIS,2024/06/17 23:11:17.787+00,CA-SAC-DOUGLAS-N57B,,,327.12097386997,FIRIS Perimeter,,2024/06/17 23:10:38+00,2024/06/17 23:13:55.167+00,Inactive
206,224ee996-212d-49b9-91fb-7a217da6c5ac,Heat Perimeter,FIRIS,2024/06/17 23:37:46.348+00,CA-TCU-AERO-N57B,,,321.40512871707,FIRIS Perimeter,,2024/06/17 23:36:41+00,2024/06/17 23:43:59.236+00,Inactive
207,80f48a3d-b517-4d32-8868-ad00da518d80,Heat Perimeter,FIRIS,2024/06/18 00:22:31.146+00,CA-SAC-DOUGLAS-2-N57B,,,284.570339121023,FIRIS Perimeter,,2024/06/18 00:21:45+00,2024/06/18 00:25:03.838+00,Inactive
210,acf40d80-79be-4857-8c26-72af351814ac,Heat Perimeter,CAL FIRE INTEL FLIGHT DATA,1900/01/01 00:00:00+00,POINT,POINT,,1207.01318331341,IR Image Interpretation,,,,Inactive
211,c9d149d2-7b19-4604-bfb8-50da2da3a20a,Heat Perimeter,CAL FIRE INTEL FLIGHT DATA,1900/01/01 00:00:00+00,Sites,Sites,,4453.57,Mixed Methods,,,,Inactive
212,295fa5d5-5b8b-483d-aeb3-5d828e26c31f,Heat Perimeter,CAL FIRE INTEL FLIGHT DATA,1900/01/01 00:00:00+00,Aero,Aero,,5009.12,Mixed Methods,,,,Inactive
213,15759733-9ec0-4811-b8d7-f6251d369c09,Heat Perimeter,FIRIS,2024/06/18 10:17:53.662+00,CA-TCU-AERO-N57B,,,5238.79684671398,FIRIS Perimeter,,2024/06/18 10:13:51+00,2024/06/18 10:20:34.503+00,Inactive
214,39b26d7f-5541-4a74-8790-23d3bc7d6bfb,Heat Perimeter,FIRIS,2024/06/18 11:38:16.101+00,CA-LNU-SITES-N57B,,,8915.19534871995,FIRIS Perimeter,,2024/06/18 11:37:03+00,2024/06/18 11:40:50.777+00,Inactive
215,7c94ea3a-e53c-476b-8a7a-0a21f86b9301,Heat Perimeter,CAL FIRE INTEL FLIGHT DATA,1900/01/01 00:00:00+00,POST,POST,0DC18BD0-8B1E-49B7-BF2D-75D5140D286B,15690.2206800938,Mixed Methods,,,,Inactive
216,ab45d513-d312-42a2-80f7-6c61c9d04618,Heat Perimeter,CAL FIRE INTEL FLIGHT DATA,1900/01/01 00:00:00+00,SITES,SITES,669F10E0-1452-4080-906E-0C53EF6D2607,15564.7093740701,GPS-Flight,,,,Inactive
217,65b59da8-038d-4f27-9747-26dbce698c73,Heat Perimeter,CAL FIRE INTEL FLIGHT DATA,1900/01/01 00:00:00+00,SITES,SITES,669F10E0-1452-4080-906E-0C53EF6D2607,15564.7093740701,GPS-Flight,,,,Inactive
218,6b84b95a-ec4f-41fd-9147-ff35e64110ba,Heat Perimeter,CAL FIRE INTEL FLIGHT DATA,1900/01/01 00:00:00+00,SITES,SITES,669F10E0-1452-4080-906E-0C53EF6D2607,15564.7093740701,GPS-Flight,,,,Inactive
219,c917c32f-f51f-4905-a432-112121ae1f46,Heat Perimeter,CAL FIRE INTEL FLIGHT DATA,1900/01/01 00:00:00+00,AERO,AERO,,5351.23694572271,Mixed Methods,,,,Inactive
220,b59c6a7f-d3e3-4576-ae6b-cf735d948138,Heat Perimeter,CAL FIRE INTEL FLIGHT DATA,1900/01/01 00:00:00+00,AERO,AERO,,5351.23694572271,Mixed Methods,,,,Inactive
221,634fe2f6-adb9-4974-9c19-bdf82f4c6b15,Heat Perimeter,CAL FIRE INTEL FLIGHT DATA,1900/01/01 00:00:00+00,AERO,AERO,6893119a-7907-41a6-9c1f-8390284d459e,5009.12,Mixed Methods,,,,Inactive
222,7a4fae31-8034-467b-863a-aa6a07c63a59,Heat Perimeter,CAL FIRE INTEL FLIGHT DATA,1900/01/01 00:00:00+00,AERO,AERO,6893119a-7907-41a6-9c1f-8390284d459e,5009.12,Mixed Methods,,,,Inactive
223,ac093b7b-12ed-4c5d-b3b4-0c85e6472299,Heat Perimeter,FIRIS,2024/06/19 21:35:08.273+00,CA-TCU-CAROL-N57B,,,5.8530129124831,FIRIS Perimeter,,2024/06/19 21:34:10+00,2024/06/19 21:37:57.406+00,Inactive
224,d278c1dc-128b-47ad-ac9e-b7e4d273354b,Heat Perimeter,CAL FIRE INTEL FLIGHT DATA,1900/01/01 00:00:00+00,AERO,AERO,6893119a-7907-41a6-9c1f-8390284d459e,5351.24,Mixed Methods,,,,Inactive
225,02fcba25-3ed6-4771-ae39-5af8487dc2ba,Heat Perimeter,CAL FIRE INTEL FLIGHT DATA,1900/01/01 00:00:00+00,POST,POST,0dc18bd0-8b1e-49b7-bf2d-75d5140d286b,15690.22,Mixed Methods,,,,Inactive
226,f0d39945-72a9-434b-9256-c07fb11b3dc3,Heat Perimeter,FIRIS,2024/06/19 23:14:08.559+00,CA-KRN-DAYTONA-N43U,,,110.314765706229,FIRIS Perimeter,,2024/06/19 23:12:33+00,2024/06/19 23:16:15.294+00,Inactive
227,b6d4935b-3e7e-4c7f-8ca8-8bd3f668d284,Heat Perimeter,FIRIS,2024/06/19 23:43:28.379+00,CA-KRN-LOOP-N43U,,,4.60027381693241,FIRIS Perimeter,,2024/06/19 23:38:09+00,2024/06/19 23:46:23.797+00,Inactive
228,5a81f838-3c93-4e78-99ab-4d168f1a954d,Heat Perimeter,CAL FIRE INTEL FLIGHT DATA,1900/01/01 00:00:00+00,SCOTTS,SCOTTS,,38.4,IR Image Interpretation,,,,Inactive
229,d8f89813-357b-462a-9cda-e5497e75a112,Heat Perimeter,CAL FIRE INTEL FLIGHT DATA,1900/01/01 00:00:00+00,SCOTTS,SCOTTS,,38.4,IR Image Interpretation,,,,Inactive
